#threads,exec_time,speedup
1S,4.007346,1
1,4.152564,.965029
2,2.401596,1.668617
3,1.769790,2.264305
4,1.411402,2.839266
5,1.333255,3.005686
6,1.198371,3.343994
7,1.240482,3.230474
8,1.307515,3.064856
9,1.167964,3.431052
10,1.238960,3.234443
11,1.281201,3.127804
12,1.315008,3.047392
13,1.351773,2.964511
14,1.402621,2.857041
15,1.336226,2.999003
16,1.446075,2.771188
