#threads,exec_time,speedup
1S,0.023107,1
1,0.024825,.930795
2,0.015311,1.509176
3,0.012256,1.885362
4,0.012002,1.925262
5,0.009164,2.521497
6,0.010397,2.222468
7,0.012798,1.805516
8,0.010578,2.184439
9,0.009580,2.412004
10,0.011278,2.048856
11,0.009273,2.491858
12,0.009126,2.531996
13,0.011642,1.984796
14,0.011910,1.940134
15,0.010470,2.206972
16,0.011715,1.972428
