#threads,exec_time,speedup
1S,0.032595,1
1,0.031681,1.028850
2,0.022803,1.429417
3,0.019027,1.713091
4,0.014306,2.278414
5,0.013434,2.426306
6,0.015415,2.114498
7,0.014786,2.204450
8,0.017411,1.872092
9,0.012833,2.539936
10,0.016390,1.988712
11,0.012563,2.594523
12,0.012385,2.631812
13,0.013530,2.409090
14,0.014180,2.298660
15,0.014455,2.254929
16,0.014981,2.175755
