#threads,exec_time,speedup
1S,0.059298,1
1,0.058103,1.020566
2,0.042780,1.386115
3,0.032012,1.852367
4,0.032445,1.827646
5,0.025946,2.285438
6,0.023022,2.575710
7,0.022494,2.636169
8,0.025489,2.326415
9,0.021281,2.786429
10,0.021175,2.800377
11,0.024627,2.407845
12,0.025360,2.338249
13,0.021114,2.808468
14,0.021501,2.757918
15,0.021495,2.758688
16,0.023542,2.518817
