#threads,exec_time,speedup
1S,0.525823,1
1,0.473446,1.110629
2,0.292462,1.797919
3,0.220319,2.386643
4,0.203848,2.579485
5,0.181996,2.889200
6,0.160408,3.278034
7,0.163036,3.225195
8,0.170333,3.087029
9,0.157765,3.332950
10,0.152420,3.449829
11,0.155570,3.379976
12,0.166072,3.166235
13,0.163602,3.214037
14,0.164989,3.187018
15,0.155500,3.381498
16,0.169936,3.094241
