#threads,exec_time,speedup
1S,0.238146,1
1,0.246286,.966948
2,0.148396,1.604800
3,0.117045,2.034653
4,0.097715,2.437148
5,0.097830,2.434283
6,0.089253,2.668212
7,0.087386,2.725219
8,0.095147,2.502927
9,0.076236,3.123799
10,0.100145,2.378011
11,0.069362,3.433378
12,0.081974,2.905140
13,0.090921,2.619262
14,0.084935,2.803861
15,0.085901,2.772330
16,0.098251,2.423853
