#threads,exec_time,speedup
1S,6.954998,1
1,7.049244,.986630
2,3.731371,1.863925
3,2.683953,2.591326
4,2.258936,3.078882
5,2.094161,3.321138
6,1.759426,3.952992
7,1.648931,4.217882
8,1.652104,4.209782
9,1.661589,4.185751
10,1.693063,4.107938
11,1.786174,3.893796
12,1.807945,3.846907
13,1.752358,3.968936
14,1.912406,3.636779
15,1.830089,3.800360
16,1.984975,3.503821
