#threads,exec_time,speedup
1S,0.816844,1
1,0.817446,.999263
2,0.450777,1.812080
3,0.330058,2.474849
4,0.266507,3.065000
5,0.234526,3.482957
6,0.228617,3.572980
7,0.202887,4.026103
8,0.200609,4.071821
9,0.209256,3.903563
10,0.211911,3.854655
11,0.219358,3.723793
12,0.215893,3.783559
13,0.256722,3.181823
14,0.214205,3.813375
15,0.236963,3.447137
16,0.230825,3.538802
