#threads,exec_time,speedup
1S,0.012786,1
1,0.013892,.920385
2,0.009898,1.291776
3,0.007771,1.645348
4,0.006803,1.879464
5,0.006952,1.839182
6,0.005847,2.186762
7,0.006360,2.010377
8,0.005807,2.201825
9,0.007221,1.770668
10,0.007786,1.642178
11,0.007967,1.604870
12,0.006852,1.866024
13,0.007892,1.620121
14,0.007290,1.753909
15,0.008715,1.467125
16,0.007608,1.680599
