#threads,exec_time,speedup
1S,0.015082,1
1,0.015984,.943568
2,0.012225,1.233701
3,0.008629,1.747827
4,0.007920,1.904292
5,0.007907,1.907423
6,0.007281,2.071418
7,0.007150,2.109370
8,0.009632,1.565822
9,0.007912,1.906218
10,0.008912,1.692324
11,0.010863,1.388382
12,0.010552,1.429302
13,0.012195,1.236736
14,0.009285,1.624340
15,0.010026,1.504288
16,0.010850,1.390046
