#threads,exec_time,speedup
1S,91.08833,1
1,91.52699,.995207
2,47.70157,1.909545
3,33.03208,2.757571
4,26.49275,3.438236
5,23.42336,3.888781
6,20.80722,4.377727
7,19.21746,4.739873
8,17.34219,5.252412
9,18.29913,4.977741
10,19.74174,4.613997
11,20.69858,4.400704
12,21.12444,4.311987
13,21.54687,4.227450
14,21.54430,4.227954
15,23.78829,3.829124
16,23.10656,3.942098
